Save for Later


134 seconds
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
1962,19660923:0900,17.8,24,11.1,24,10.2,24,-,-,-,D
1962,19660924:0900,16.9,24,9.5,24,6.1,24,-,-,-,D
1962,19660925:0900,17.9,24,12.4,24,11.0,24,-,-,-,D
1962,19660926:0900,15.7,24,10.1,24,8.3,24,-,-,-,D
1962,19660927:0900,13.8,24,7.8,24,4.4,24,-,-,-,D
1962,19660928:0900,15.4,24,8.5,24,5.6,24,-,-,-,D
1962,19660929:0900,18.1,24,9.1,24,4.0,24,-,-,-,D
1962,19660930:0900,17.1,24,9.9,24,7.0,24,-,-,-,D
1962,19661001:0900,16.6,24,8.9,24,6.1,24,-,-,-,D
1962,19661002:0900,16.4,24,9.1,24,6.0,24,-,-,-,D
1962,19661003:0900,17.3,24,10.4,24,8.4,24,-,-,-,D
1962,19661004:0900,17.1,24,7.7,24,2.8,24,-,-,-,D
1962,19661005:0900,17.4,24,11.9,24,10.4,24,-,-,-,D
1962,19661006:0900,17.0,24,11.1,24,8.1,24,-,-,-,D
1962,19661007:0900,20.0,24,11.2,24,8.1,24,-,-,-,D
1962,19661008:0900,18.1,24,8.3,24,4.9,24,-,-,-,D
1962,19661009:0900,16.1,24,11.9,24,11.4,24,-,-,-,D
1962,19661010:0900,15.7,24,10.0,24,7.2,24,-,-,-,D
1962,19661011:0900,17.8,24,9.9,24,7.2,24,-,-,-,D
1962,19661012:0900,16.7,24,8.5,24,6.5,24,-,-,-,D
1962,19661013:0900,16.1,24,10.3,24,9.6,24,-,-,-,D
1962,19661014:0900,14.6,24,5.7,24,3.1,24,-,-,-,D
1962,19661015:0900,14.4,24,5.3,24,0.6,24,-,-,-,D
1962,19661016:0900,16.0,24,11.2,24,9.6,24,-,-,-,D
1962,19661017:0900,16.6,24,7.7,24,3.2,24,-,-,-,D
1962,19661018:0900,18.1,24,8.0,24,2.6,24,-,-,-,D
1962,19661019:0900,17.4,24,11.1,24,6.6,24,-,-,-,D
1962,19661020:0900,17.4,24,12.4,24,11.1,24,-,-,-,D
1962,19661021:0900,19.7,24,9.6,24,4.7,24,-,-,-,D
1962,19661022:0900,19.4,24,11.0,24,7.9,24,-,-,-,D
1962,19661023:0900,20.8,24,13.1,24,12.8,24,-,-,-,D
1962,19661024:0900,17.4,24,11.7,24,8.4,24,-,-,-,D
1962,19661025:0900,16.2,24,6.7,24,3.7,24,-,-,-,D
1962,19661026:0900,17.9,24,7.9,24,2.8,24,-,-,-,D
1962,19661027:0900,17.9,24,7.6,24,1.7,24,-,-,-,D
1962,19661028:0900,19.6,24,9.8,24,6.1,24,-,-,-,D
1962,19661029:0900,19.1,24,9.2,24,4.2,24,-,-,-,D
1962,19661030:0900,18.2,24,10.1,24,5.2,24,-,-,-,D
1962,19661031:0900,19.7,24,12.8,24,9.6,24,-,-,-,D
1962,19661101:0900,19.0,24,9.7,24,4.5,24,-,-,-,D
1962,19661102:0900,20.8,24,8.4,24,3.4,24,-,-,-,D
1962,19661103:0900,21.5,24,11.3,24,8.3,24,-,-,-,D
1962,19661104:0900,22.1,24,13.3,24,9.6,24,-,-,-,D
1962,19661105:0900,22.8,24,15.6,24,14.6,24,-,-,-,D
1962,19661106:0900,19.9,24,14.7,24,13.3,24,-,-,-,D
1962,19661107:0900,18.5,24,12.9,24,9.4,24,-,-,-,D
1962,19661108:0900,20.7,24,14.1,24,12.2,24,-,-,-,D
1962,19661109:0900,17.2,24,11.7,24,9.4,24,-,-,-,D
1962,19661110:0900,18.1,24,7.4,24,4.4,24,-,-,-,D
1962,19661111:0900,18.0,24,6.4,24,3.3,24,-,-,-,D
1962,19661112:0900,19.3,24,10.0,24,5.7,24,-,-,-,D
1962,19661113:0900,18.7,24,12.2,24,10.4,24,-,-,-,D
1962,19661114:0900,18.8,24,12.9,24,10.6,24,-,-,-,D
1962,19661115:0900,18.5,24,14.2,24,12.9,24,-,-,-,D
1962,19661116:0900,17.7,24,14.3,24,13.9,24,-,-,-,D
1962,19661117:0900,17.6,24,11.6,24,10.8,24,-,-,-,D
1962,19661118:0900,18.7,24,10.4,24,8.1,24,-,-,-,D
1962,19661119:0900,17.7,24,10.6,24,10.3,24,-,-,-,D
1962,19661120:0900,16.5,24,7.1,24,2.8,24,-,-,-,D
1962,19661121:0900,17.3,24,12.2,24,10.4,24,-,-,-,D
1962,19661122:0900,17.9,24,11.1,24,8.9,24,-,-,-,D
1962,19661123:0900,15.6,24,9.1,24,5.7,24,-,-,-,D
1962,19661124:0900,15.6,24,11.7,24,10.8,24,-,-,-,D
1962,19661125:0900,16.9,24,13.4,24,12.2,24,-,-,-,D
1962,19661126:0900,19.1,24,15.9,24,15.6,24,-,-,-,D
1962,19661127:0900,19.1,24,15.8,24,15.0,24,-,-,-,D
1962,19661128:0900,21.1,24,14.8,24,12.8,24,-,-,-,D
1962,19661129:0900,20.8,24,16.3,24,15.3,24,-,-,-,D
1962,19661130:0900,19.3,24,13.6,24,10.6,24,-,-,-,D
1962,19661201:0900,18.3,24,14.1,24,11.9,24,-,-,-,D
1962,19661202:0900,19.4,24,14.4,24,13.8,24,-,-,-,D
1962,19661203:0900,17.1,24,11.7,24,10.6,24,-,-,-,D
1962,19661204:0900,16.8,24,12.4,24,11.2,24,-,-,-,D
